accept;close;ioctl;recv
access;access;access;access
access;access;access;brk
access;access;access;getpid
access;access;access;gettimeofday
access;access;access;ioctl
access;access;access;mkdir
access;access;access;mmap2
access;access;access;mprotect
access;access;access;msgget
access;access;access;munmap
access;access;access;open
access;access;access;read
access;access;access;recv
access;access;access;rename
access;access;access;stat64
access;access;access;syscall_983042
access;access;lstat64;syscall_983042
access;access;lstat64;writev
access;access;mkdir;access
access;brk;gettimeofday;msgget
access;getpid;gettimeofday;recv
access;gettimeofday;gettimeofday;stat64
access;ioctl;gettimeofday;syscall_983042
access;mkdir;ioctl;brk
access;mmap2;ioctl;getpid
access;mprotect;ioctl;gettimeofday
access;msgget;ioctl;msgget
access;munmap;ioctl;recv
access;open;ioctl;stat64
access;read;ioctl;syscall_983042
access;recv;ioctl;writev
access;rename;lstat64;access
access;stat64;lstat64;getpid
access;syscall_983042;lstat64;recv
brk;access;access;write
getpid;access;access;writev
gettimeofday;access;brk;access
ioctl;access;brk;brk
mkdir;access;brk;open
mmap2;access;brk;recv
mprotect;access;brk;stat64
msgget;access;brk;syscall_983042
munmap;access;getpid;getuid32
open;access;getpid;SYS_224
read;access;gettimeofday;access
recv;access;gettimeofday;brk
rename;access;gettimeofday;getpid
stat64;access;gettimeofday;gettimeofday
syscall_983042;access;gettimeofday;mprotect
